,Text,Response
60,"Посмотрев данный мульт долго потом не мог придти в себя! Не буду повторять предыдущие мнения, а просто коротко изложу своё! Откровенная бредятина, безвкусица и отсутствие здравого смысла! Сборная солянка из всевозможных клеше, повторений и чужих идей изредка разбавленная современным сленгом и неадекватностью героев! Но самое невероятное в этом творении — песни! Безликие и Нудные, с, похоже, наспех сочинёнными текстами! Только ёжик порадовал, когда не косил под героя «Ёжик в тумане»! За Ёжика 1 балл так и быть! Итого: 1 из 10","этот мульт: бредятина, безвкусица, отсутствие здравого смысла: негативно 
песни: безликие, нудные, с наспех сочинёнными текстами: негативно 
ёжик: порадовал, когда не косил под героя «Ёжик в тумане»: положительно"
54,"Пародия пародии рознь. Эту пародию мне бы, на месте режиссера, стыдно было бы выставлять на суд публики. Нелепо до безумия, актеры играют так, что плакать хочется, а добротным юмором здесь и вовсе не пахнет. Не вполне понятные события быстро сменяют друг друга, даже не оставляя после себя абсолютно никакого осадка в памяти у зрителя. Любители от души посмеяться в этом фильме не найдут искомого. Задумка, может, была и неплохая — кроссовер, эдакое пересечение разных сюжетов, абсолютно несовместимых между собой фильмов. Но то, как эту задумку реализовали, действительно шокирует. 1 из 10 Просто потраченные впустую полтора часа жизни. Мой вам совет: потратьте это время на что-нибудь более полезное для себя и для окружающих вас людей.","пародия: пародия пародии рознь: негативно 
актеры: играют так, что плакать хочется: негативно 
добротный юмор: не пахнет: негативно 
события: не понятные, несовместимые между собой, не оставляют осадка в памяти: негативно 
задумка: была неплохая: нейтрально 
реализация: шокирует: негативно"
89,"Фильм не плохой. Это качественно сделанный боевик высшего класса. Но если сравнивать его с Бэтменом Тима Бертона, то он однозначно ему проигрывает. Бэтмен Бертона намного более мрачный, более страшный, можно сказать, что он как то взрослее. Новый Джокер конечно не плох, но он не конкурент Джеку Николсону, игра которого просто бесподобна. Новый фильм, как и предыдущий (Бэтмен начало), снят более мягко, хоть и пытается казаться страшным. Он наверно более красивый, кассовый, в нем лучше спецэффекты, хороший сценарий, продуманный сюжет, но как говорят: «не зацепил». В нем нет того потрясающего стиля, атмосферы, которая присуща первым двум фильмам про Бэтмена у Тима Бертона.  Поэтому Темный рыцарь — просто хороший боевик, с красивой картинкой на который потратили кучу денег, а Бэтмен Бертона — настоящий фильм про Бэтмена, и одна из лучших экранизаций комиксов. Тот Готэм, который создал Бертон — один, и повторить его может только он. P.S. В скором наверно будет фильм с Бэтменом про женщину — кошку. Посмотрим, что у них получится. Потому что Бэтмен возвращается просто шедевр, кульминация всей серии про этого героя. 6 из 10","фильм: не плохой: положительно 
боевик: высшего класса: положительно 
Бэтмен Тима Бертона: намного более мрачный, более страшный, взрослее: положительно 
Новый Джокер: не плох, не конкурент Джеку Николсону: негативно 
новый фильм: более мягкий, красивый, кассовый: положительно 
спецэффекты: лучше: положительно
сценарий: хороший: положительно 
сюжет: продуманный: положительно
Темный рыцарь: просто хороший боевик: нейтрально 
Бэтмен Бертона: настоящий фильм про Бэтмена, одна из лучших экранизаций комиксов: положительно"
56,"К сожалению для создателей этого кино, фильм настолько бледен, что невозможно даже ничего о нем написать. Честно говоря, жаль потраченного времени и жаль, что я опять «повелась» на шикарный промоушн. Оценка 3 из 10 только благодаря Косте Крюкову.","фильм: бледен, невозможно ничего написать: негативно 
промоушн: шикарный: нейтрально"
19,"Это история о людях, о чувствах, здесь нет пустых слов, каждая фраза имеет направление. Да, этот фильм о любви, но также нам показывают драму выбора, все герои связаны, каждый воплощает ветвь того поворота жизни,- «а если бы..», и такое притягивает.  Вы смотрите с замиранием сердца, и даже можно поплакать, можно негодовать, но именно такое должно быть кино, чтобы взывать. Красивые пейзажи, приятная музыка. Правдивые чувства и настоящие ценности. Колоритно и надрывающе.  «Я совершенно обычный человек и жизнь прожил обыкновенную… И все же я познал любовь и мне этого достаточно..» (Ной) 10 из 10","

история: о людях, чувствах: положительно 
сюжетная линия: не пустая: положительно 
герои: связаны, воплощают ветвь поворота жизни: положительно 
пейзажи: красивые: положительно 
музыка: приятная: положительно 
чувства: правдивые: положительно 
ценности: настоящие: положительно
колоритность: надрывающая: положительно"
65,"Тоскливый фильм из такой интереснейшей сказки. Совершенно не понравилось. Поход в кинотеатр сразу не задался. Свободных мест в зале практически не было, в итоге мы с папой за 10 минут до начала купили билеты на разные ряды. Но это в какой-то степени говорило о том, что фильм должен быть отличным, раз столько людей в новогодние каникулы жаждет его посмотреть. Но оказалось, что это было заблуждение. Наверное, всех, как и меня, привлекла реклама, столь красиво рассказывающая о том, что создан новый «киношедевр». Игра актеров. Не впечатлило. Совсем. Дети, конечно, молодцы, что-то стоящее показали, но как-то я видела совершеннее. Озвучка. Филипп Киркоров порадовал. Очень неплохое впечатление. НО! Его неплохая озвучка совершенно не сочетается с игрой актера. Единой картинки не выходит, образ не получается. Весь фильм сравнивала его с «Алисой в стране чудес» Тима Бёртона. Вывод один: сразу видно, что «Щелкунчика» снимали русские. Если бы это было доверено зарубежным создателям, то вышел бы шедевр, но к сожалению, я опять зря потратила и деньги, и время.  Что еще не понравилось — полнейшее отсутствие юмора. Было пару шуток, но разве это спасает? Подвожу итог. Я ожидала от этого творения совершенно иного. С середины картины появляется желание заснуть. 4 из 10","фильм: тоскливый: негативно
игра актеров: не впечатлило: негативно
озвучка: Филипп Киркоров порадовал: положительно
озвучка: не сочетается с игрой актера: негативно
юмор: отсутствует: негативно"
39,"Кристофер Нолан, безусловно, один из лучших режиссеров последних десяти лет. Он снимает те фильмы, которые нужно смотреть крайне внимательно. Каждая мелочь в картинах Нолана это маленький подтекст и если собрать их все, то получишь необычайно блистательный фильм. Но «Престиж»… это самая сложная иллюзия, когда-либо созданная режиссером. Окутанный тайной, окутанный мраком фильм. Призрачный и в то же время такой реальный. Такой будоражаще-красивый и жестокий до невозможности. Это необычайно сложная история двух иллюзионистов, чьи жизни строятся на трех аспектах фокуса: наживка, превращение и… престиж. Наша жизнь — призрачный фокус, стоящий на этих аспектах. Это самая прекрасная их реалистичных иллюзий! Актеры! Чудесные актеры. Кристиан Бейл, Роберт Энджиер, Майкл Кейн! Ну что за прекрасный состав. Ах, мистер Нолан, благодарю вас за эту скромную радость. Это чудеснейший актерский состав! Приятно смотреть на профессионалов своего дела.  Итог: смотрите Нолана, господа, но только очень внимательно. Смотрите волшебные миры в этой реальности. Смотрите. 10 из 10","Кристофер Нолан: один из лучших режиссеров последних десяти лет: положительно 
фильм «Престиж»: самая сложная иллюзия, когда-либо созданная режиссером: положительно
фильм: окутанный тайной, окутанный мраком: нейтрально  
актеры: чудесные: положительно
состав: прекрасный: положительно"
26,"Первый фильм мне очень понравился, но второй это просто шедевр! Безусловно, наряду с 9-й ротой, Братами, Ворошиловским стрелком, лучший фильм российского производства.  Начнем по порядку: -сценарий: главное отличие сценария этого фильма от сценариев других фантастических экшенов в том, что здесь смысл — проблема пропаганды всегда очень актуальна.  -актеры: подобраны такими, какими их представляли братья Стругацкие. Максим им представлялся высоким блондином, улыбающимся на каждом шагу каждому столбу. Такой он и в этом фильме. Гай — бравый «спецназовец», его сестра — умница и красавица. Федя, как и всегда очень хорош, истинный профессионал. -режиссура: гениально! Федя чертовски хорош! Он смог создать удивительный мир этой планеты, города, историю, народы, правителей, в точности как у братьев Стругацких. Во время просмотра я думал, что я живу в этом мире. -спецэффекты: хороши, конечно Голливуду уступаем, но это, безусловно, лучшие спецэффекты российского кинематографа. Танки, города, взрывы, армии — все на 5+ Итог: 10 из 10","первый фильм: понравился: положительно 
второй фильм: шедевр: положительно 
сценарий: здесь смысл — проблема пропаганды всегда очень актуальна: нейтрально
актеры: подобраны такими, какими их представляли братья Стругацкие: положительно
Федя: очень хорош, истинный профессионал, чертовски хорош, смог создать удивительный мир этой планеты: положительно 
режиссура: гениально: положительно 
спецэффекты: хороши: положительно 
итог: 10 из 10: положительно"
45,"Вобщем, честно говоря, ждал большего от фильма… Ничего гениального так и не нашёл. С другой стороны фильм всё же хороший, и хорошо играет Николсон, хотя справедливости ради хочу заметить, что Николсон играет везде одинаково… одинаковая неподражаемая улыбка, одинаковые эмоции. В общих чертах, в фильме есть некоторая недосказанность, немного непонятности и неадекватности, как и во всех нас. Оценить такой фильм сложно.","фильм: не нашёл ничего гениального: нейтрально
фильм: всё же хороший: положительно 
Николсон: хорошо играет: положительно 
Николсон: играет везде одинаково, одинаковая неподражаемая улыбка, одинаковые эмоции: нейтрально
фильм: есть некоторая недосказанность, немного непонятности и неадекватности: нейтрально"
70,"Это классика! Один из лучших фильмов за всю историю кино! Фильм, который перевернул мир, поэтому его надо смотреть и обязательно всем. 10/10","фильм: классика, один из лучших,перевернул мир: положительно"
75,"Эдит Пиаф, знаменитая певица, обладающая невероятным и неповторимым голосом. Её знает, наверное, каждый, по крайней мере, очень многие. Но не все знаю о её жизни и судьбе, как она была тяжела, и через что пришлось пройти этой сильной женщине. Фильм поразителен тем, что зритель полностью вливается в атмосферу того времени и песни этой певицы. В то же время, очень тяжело наблюдать за переживаниями и испытаниями Эдит Пиаф. Марион Котийяр превосходно представляется в образе неповторимой французской певицы. Восхитительная игра! Гнев, печаль, радость, слезы — всё это так искренне и естественно.  А этот голос… Он же уже давно стал символом Франции. Я считаю, что каждый человек должен знать об этой необыкновенно сильной женщине. Она жила только музыкой, это и было её любовь, в которую она так верила. 10 из 10","фильм: поразителен: положительно 
зритель: полностью вливается в атмосферу того времени, песни этой певицы: положительно 
Марион Котийяр: превосходно представляется: положительно 
голос: давно стал символом Франции.: положительно"
0,"Фильм в жанре комедийная философская драма. В жизни есть цель и к ней надо стремиться, даже если ты на волоске от смерти! Очень тронула первая мечта одного из главных героев… Ну и концовка, конечно, и саундтрек неплохой. 10 из 10","жанр: комедийная философская драма: нейтрально
мечта одного из главных героев: тронула: положительно 
концовка: неплохая: положительно 
саундтрек: неплохой: положительно"
84,"Фильм получил признание не только в Америке, но и в Европе, что свидетельствует об актуальности картины. Обычно, кинофестивали по разные стороны Атлантики имеют разные критерии оценки картин. События, описываемые ребенком, с наглядными параллелями между событиями детства и взрослыми события одинаково актуальны для всех возрастов. В этом, наверно, и кроется секрет популярности книги — она годится не только для летнего чтения.  Киноверсия же представляет собой выборку наиболее ярких моментов, с точки зрения глобальности — это оцивилизованный суд Линча, но много не менее значимых событий для понимания вырваны начисто. Если экранизировать все, то 2 часов не хватит, а сериал недолговечная форма хранения. Черно-белые бывают яркими, если освещены такими незаурядными звездами, как Грегори Пек. В общем, невыцветающая классика.  7 из 10","фильм: получил признание не только в Америке, но и в Европе: положительно 
киноверсия: выборка наиболее ярких моментов: нейтрально 
Грегори Пек: незаурядная звезда: положительно 
классика: невыцветающая: положительно"
91,"Если честно, я не очень люблю фильмы с большим количеством имен. А здесь столько звезд, что в итоге начисто забываешь, как зовут их персонажей, и смотришь фильм с такими внутренними комментариями: «О! Брэт Питт опять чего-то жрет! Ага! Деймон на разведке! О господи, Джулия, как же ты всё-таки страшна!» И далее в том же духе. Хорошо это или нет? — наверное, ничего плохого, хотя Содерберга такая замена сценарных имен реальными вряд ли порадует! Но Стивен, слава Богу, не читает сайт «КиноПоиск «! В целом всё очень технологично и основательно. Правда, мне это не помогло, и в некоторых местах было скучновато. Рискую навлечь на себя критику фанатов, но всё таки должен это сказать — можно было и подинамичнее! Из актеров больше всего порадовал Гарсия. Нетипичный для него персонаж, контраст холодного взгляда и жгучей внешности. Маладца! Ну, а расстроила, конечно, Робертс, которой, похоже, важнее всего было скрыть свой далеко не девичий возраст. Сцена, где эта, с позволения сказать, красавица спускается по лестнице, а Клуни с Питтом изо всех сил стараются играть восхищение — самый заметный актерский и режиссерский прокол. Просто по всем фронтам! И никто, с кем бы я ни смотрел этот фильм, восхищения внешностью Джулии не высказал. Никто! Сама по себе история ограбления, на мой взгляд, не самая блестящая. «The Italian Job» однозначно лучше. Иногда масштабность не то, чтобы вредит… скорее, не помогает! 7 из 10","фильм: много имен: негативно 
Стивен Содерберг: не читает сайт «КиноПоиск»: нейтрально 
в целом: очень технологично, основательно: положительно 
некоторые места: были скучноваты: негативно 
Гарсия: Нетипичный для него персонаж, контраст холодного взгляда и жгучей внешности: положительно 
Робертс: расстроила: негативно 
сцена с Робертс: Клуни с Питтом изо всех сил стараются играть восхищение: негативно 
история ограбления: не самая блестящая: негативно"
