,Text,Response
17,"Попала как-то в руки мне машина Jetta 1989 года выпуска. На первый взгляд невзрачный, наполовину квадратный кузов, с таким же салоном. Но, с хорошим расположением магнитолы на торпеде, можно установить хороший приемник с выезжающим дисплеем 7"", который не будет ничему мешать. Переходим к моторному отсеку. При открытии капота, можно будет стать рядом с карбюраторным двигателем в 75 л. с. с обоих сторон. Лишнего ничего нет, хотя хотелось бы, например недостаток ГУРа. Относительно просторный салон, с удобным задним диваном с подлокотником. Так же довольна большой багажник. Переходим к ходовым качествам этого автомобиля: мягкий ход, проглатывает ямы. За то время, что этот автомобиль пробыл в моей эксплуатации особых трудностей не было, хотя если и были, то быстро решались. ","
машина: на первый взгляд невзрачный: нейтрально 
машина: наполовину квадратный кузов: нейтрально 
магнитола: хорошее расположение: положительно 
дисплей: выезжающий: положительно 
капот: при открытии можно будет стать рядом с карбюраторным двигателем: положительно 
двигатель: обоих сторон: положительно 
салон: просторный: положительно 
багажник: довольна большой: положительно 
ходовые качества: мягкий ход: положительно 
ходовые качества: проглатывает ямы: положительно"
21,"Главное - не покупайте машины с ""турбиной"". С ними много проблем. На сервисах реально не знают как их ремонтировать. По мелочи: - Задняя подвеска не рассчитана под русские дороги. - Неудобно расположен подогрев сидений. - Крышка топливного бака открывается ключем зажигания и её нужно носить с собой на заправках. - Очень плохой обзор. Габариты плохо чувствуются. - Высокая стоимость оригинальных запасных частей и ремонтных работ. - Ужастная покраска. Краска очень быстро повреждается. - Отсутствует русский язык в бортовом компьютере и CD-проигрывателе. и много еще проблем. ","
проблемы: много: негативно 
бортовой компьютер: отсутствует русский язык: негативно 
CD-проигрыватель: отсутствует русский язык: негативно
покраска: очень быстро повреждается: негативно"
22,"Был у меня транспортер т4 1999 года выпуска длинная база пассажир 2.2 турбодизель!!! Соляры жрет что трактор 15 литров на 100 км! Комфорт на минимуме, разгон тоже не особо уверенный, турбина выделывалась!! сильно гнил!!! Простая замена масла и фильтров мне обхоилась в 500 Долларов!! как я с ней намучался, отдал на запчасти за копейки и перекрестился! И сейчас хож по авторынку так стоят Т4 по 13000 доларров 1998 года, ну куда такому старичку столько стоиить? Так что мой вам совет, не берите! ","
машина: не надежная, прихотливая: негативно 
дефекты: сложно ремонтируются: негативно
разгон: не уверенный: негативно
турбина: выделывалась: негативно
простая замена масла и фильтров: дорогостоящая: негативно"
24,"Очень оригинальный внешний вид. Большой и очень удобный салон. Сиденья широкие, мягкие и очень удобные. Сидеть в таких одно сплошное удовольствие. По ДВС работает тихо, разгон динамичный. ","внешний вид: оригинальный: положительно 
салон: большой, удобный: положительно 
сиденья: широкие, мягкие, удобные: положительно 
ДВС: работает тихо, динамичный: положительно"
25,"Не зря говорят "" немецкая машина-знак качества"" Была такая Машинка! Старенькая по годам! и комплектация простовата, но для своих годов машинки лучше не придумаешь! Простая в управлении, не дорогая в обслуживании, проста в ремонте. не прихотлива к топливу! Идеально подойдет для начинающих водителей, которые хотят научится не только нормально ездить но и хорошо знать техническую сторону автомобиля ","
машина: надежная, неприхотливая: положительно 
комплектация: простовата: нейтрально 
управление: простое: положительно 
обслуживание: не дорогое: положительно 
ремонт: простой: положительно 
топливо: не прихотливо: положительно"
27,"Машина резвая, на счет двигателя без проблем, если своевременно менять масла и фильтра, печка дула очень плохо, зимой приходилась мерзнуть, подвеска ""жесткая"", по рулевому проблем не было, а вот с амортизатарами пришлось повозиться, менял через каждых 4 месяца, запчасти на её дороговаты. По кузову большой минус были пороги гниют, если не обрабатывать, моментально. Еще один большой минус, это опорные подушки амортизатора, вода летит с под колес прямо внутрь задних стаканов, и по-этому они часто гнили и ломались, расход топлива по трассе 6 литров, по городу 8 литров 92 бензина. Мотор 1.6 инжектор. Легка в обслуживании, ремонт производил себе всегда сам в гараже. Для своего года выпуска с хорошей комплектацией, с полным электро пакетам, гидроуселителем, корректорам фар, центральным замком, имобилайзером. Места в салоне слишком мала. Машина слишком низкая, от низких сидений даже болела поясница ","
машина: резвая: положительно 
двигатель: без проблем: положительно 
печка: дула очень плохо: негативно 
подвеска: ""жесткая"": негативно 
амортизаторы: проблемы: негативно 
пороги: гниют: негативно 
опорные подушки амортизатора: вода летит с под колес прямо внутрь задних стаканов: негативно 
мотор: 1.6 инжектор: положительно 
обслуживание: легкое: положительно 
комплектация: хорошая: положительно 
места в салоне: слишком мала: негативно 
машина: слишком низкая: негативно"
28,"У меня машина 2001 года выпуска, сразу скажу, ломается часто, все время брымчит, гримит, сделаешь одно сломается другое, никому не советую вообще советский автопром, это не автомобили, а не знаю что. Ну вы можете меня судить, но это мое мнение. Хорошо хоть крыша не протекает, так бы вообще сжег ее. Не спорю, одно это дешевый ремонт и дешевые автозапчасти. Делал сам капитальный ремонт двигателя, обошлось 4500, деньги ушли только на запчасти. Времени убил около двух дней. Ну а в общем если это первый ваш автомобиль, то может и посоветую, и намучаетесь, и все изведетесь, как говорится тяжело в учении легко в бою. Для новичка самое то, почувствовать габариты и все такое. А так не советую. ","
машина: ломается часто: негативно 
машина: все время брымчит, гримит: негативно 
машина: дешевый ремонт: положительно 
машина: дешевые автозапчасти: положительно"
29,"Ездил на таком автомобиле около года назад. У меня был Дэу Эсперо красного цвета, 1997 года выпуска и с двигателем объемом 1,5 литра. Достаточно быстрый и прыткий автомобиль, быстро идет на разгон. По скорости набирает спокойно 140-150 и уверенно держит дорогу. Единственный недотаток - это кузов, который очень подвержен коррозии и гниению. За кузовом нужно постоянно следить и вовремя обрабатывать специальными жидкостями и мовилью. Для меня составило неудобство переключение задней скорости - типичная опелевская коробка. Если говорить еще о недостатках, то есть еще один - это замена лампочек ближнего/дальнего света - у меня это заняло 2 часа времени и поцарапанные руки.","
Дэу Эсперо: быстрый, прыткий: положительно 
двигатель: объемом 1,5 литра: положительно 
кузов: подвержен коррозии, гниению: негативно 
переключение задней скорости: типичная опелевская коробка: негативно 
замена лампочек ближнего/дальнего света: заняло 2 часа времени, поцарапанные руки: негативно"
32,"ВАЗ 2109 самый простой по конструкции, отечественный автомобиль ! За два года эксплуатации показал себя с положительной стороны во всех отношениях. Мною были произведены изменения внешней конструкции кузова, а именно замена:бамперов, установка легко-сплавных дисков а также покраска. Ходовая часть слабоватая, но после замены штатных рычагов на треугольные, машина стала чувствовать себя намного увереннее ! Теперь о салоне. Один из минусов это отвратительное качество материалов и сборки салона! В народе Девятку даже прозвали ""погремушка""! Но не смотря на это автомобиль все же является очень востребованным! ","
ВАЗ 2109: простой по конструкции: положительно 
эксплуатация: два года: положительно 
изменения: внешней конструкции кузова: положительно 
ходовая часть: слабоватая: негативно 
салон: отвратительное качество материалов и сборки: негативно"
34,"Машинка симпатичная с уютным салоном, хорошие динамические показатели. Настораживает лиш то что у моей, после 170 тыс. км пробега, начала подозрительно завывать турбина (версия 2,0 дизель), что говорит о скорой ее кончине и дорогостоящем ремонте. У меня есть подозрение что мотор имеет небольшой ресурс по сравнению с другими японскими собратиями. В подтверждение тому у моего знакомого на Mazda 6 (такой же двигатель 2.0 дизель) после 250 тыс. км пробега уже заменена турбина и двигатель на исходе (вывод сделан после замера компрессии в цилиндрах). Зная его не думаю что это случилось из за использования некачественных масел. Извините за неинформативный отзыв, это скорее только мнение. Я после этого автомобиля сильно разочаровался в Mazda. Мой совет: если выбираете все таки мазду с пробегом, следите за тем чтоб он был не более 100 тыс. км. ","
машина: симпатичная, уютный салон, хорошие динамические показатели: положительно 
турбина: подозрительно завывает: негативно 
двигатель: небольшой ресурс: негативно"
37,"Была у меня такая машинка (один и восемь объем двигателя, на автоматической коробке передач) три года. Требовала минимум вложений. Ездил и в лесах, и в полях, и по сугробам, и нигде не застревал. Салон просторный для этого класса автомобилей. Немаленький багажник. В целом машиной очень доволен, плохо что их выпуск был прекращен. ","
Машина: надежная, неприхотливая: положительно 
салон: просторный: положительно 
багажник: немаленький: положительно"
38,Не могу хвалить эту машину. Если честно машина не приспособлена для города. Хотя по цене да она можно сказать дешевая. И быстро изнашивается и сыпется.,"машина: не приспособлена для города: негативно
цена: дешевая: положительно
износ: быстро изнашивается: негативно
сыплется: сыплется: негативно"
39,"Данным автомобилем владею уже более 5 лет и о нем могу сказать только положительные отзывы. Автобус дизельный объем 2000л коробка механическая привод отключаемый полный. Летом когда не нужен полный привод стоят механические хабы, которые отключают полуося и мост полностью разгружен. Раздаточная коробка имеет пониженную передачу, что облегчает движение по ""трудному"" бездорожью. Расход топлива тоже приятно удивляет 6-7 литров на 100 километров. В салоне имеется кондиционер, электростеклоподьемники. Салон большой, просторный, сиденья все раскладываются в просторную кровать можно спать 3 человека. За время эксплуатации менял только расходники.","
Автобус: дизельный объем 2000л: положительно 
коробка: механическая: нейтрально
привод: отключаемый, полный: нейтрально
расход топлива: 6-7 литров на 100 километров: положительно
Салон: большой, просторный: положительно 
сиденья: все раскладываются в просторную кровать: положительно"
44,"Покупали данное авто жене, выбор делали между отечественными авто и китайскими из-за цены. Машинка неплохая, но минусов тоже много. Начну с плюсов:конечно же цена, относительно хорошее качество материалов, к двигателю претензий нет, много места, очень долго не появлялись скрипы. Теперь о минусах:через 3 месяца появились рыжики на арках(хотя у нас не стояли подкрылки), периодически отваливались противотуманки, менял стойки стабилизатора. Распрощались с этим авто в результате аварии, удар был боковой со скоростью 60 км, после этого я бы не купил ещё раз Solano. Мягко говоря увело всё. что можно! Выбор крнечно за вами, но китай есть китай!","
Машина: неплохая: положительно 
цена: относительно хорошая: положительно 
качество материалов: хорошее: положительно 
двигатель: много места: положительно 
рыжики: появились: негативно 
противотуманки: отваливались: негативно 
стабилизатор: менял: негативно 
авария: была: негативно"
46,"Являясь владельцем РАВ4 предыдущего поколения не мог обойти стороной новое поколение. Как только автомобиль появился в салоне сразу же приехал его посмотреть. Первое, что бросилось в глаза совершенно новый облик не похожий ни на одно предыдущее поколение автомобиля. Интерьер также полностью изменился и преобразился. Салон стал значительно просторнее сзади, а вот багажник очень сильно огорчил. Невнятный ""пьедестал"", который там сделали из крышки фальш-пола просто убивает своим внешним видом и ""съедает"" часть пространства внутри. Решил пройти тест-драйв. И тут машина мало чем удивила. Во многом похожа на предыдущее поколение. Та же знакомая подвеска, тот же двигатель. Возможно немного улучшилась управляемость за счёт увеличения колёсной базы, но это больше номинально, нежели фактически. Как итог получает всё тот же ""рафик"" в новой упаковке.","
облик: новый: нейтрально
интерьер: полностью изменился: положительно 
багажник: очень сильно огорчил: негативно 
подвеска: та же знакомая: нейтрально 
двигатель: тот же: нейтрально 
управляемость: возможно улучшилась: положительно"
51,"Машина зарекомендовала себя с хорошей стороны, но есть, как плюсы, так и минусы. Мотор неубиваемый, но любит кушать бензин с хорошим аппетитом. Зимой расход по городу у меня получался 15 литров на моторе 1,8 кватро. Салон нешумный, тихий, но тесноватый, хотелось бы попросторней. Сзади на троих критически места не хватает. И багажник тоже очень маленький, такого маленького не видел больше ни в одном ""седане"". Подвеска надежная, неубиваемая. Электрика работала отлично. Не могу сказать про немецкое качество оцинкованного кузова. На твердую ""пятерку"" Пластмасса также качественная не гремит. Машине 24 года- ни одного ржавого места.","мотор: неубиваемый: положительно 
салон: нешумный, тихий: положительно 
салон: тесноватый: негативно
подвеска: надежная, неубиваемая: положительно 
электрика: работала отлично: положительно 
кузов: оцинкованный: положительно 
пластмасса: качественная: положительно "
52,"Автомобиль зарекомендовал себя с не очень хорошей стороны. Запчасти недорогие. Уже есть такая роскошь, как стеклоподъемники и обогрев сиденья=) Кузов, как картон, гниет на глазах. Если прозеваешь замену ГРМ, готовь карман к растратам. По подвеске: летели постоянно шаровые и гранаты. Мотор оставил впечатления хорошие в принципе. Расход по городу оставил 10-11, по трассе- 7-8 литров. В машину б/у нужно вложить немало, чтобы выглядела достойно и устраивала Вас по комфорту. Советую лучше взять старенькую немецкую иномарочку, чем этот ""тазик"". Машина не устойчиво себя держит на высокой скорости, будьте осторожны!","
запчасти: недорогие: положительно
кузов: как картон, гниет на глазах: негативно
подвеска: летели шаровые, летели гранаты: негативно
мотор: впечатления хорошие: положительно"
53,"Автомобиль запечатлился в моей памяти, как хороший, надежный автомобиль. Необычная панель с подсветкой зеленого цвета совсем не напрягает зрение. По-особенного оформленный салон произвел на меня приятное впечатление. Сделано все для людей, качество на лицо. Просторный, вместительный багажник. Сзади и троим сидеть не тесно. Мотор хорош! Подвеска тоже сделана по уму, запчасти не такие уж и дорогие, а самое главное доступные не надо ждать по две недели. По кузову нареканий нет, если говорить о гнили и ржавчине. На ""дальняк"" вообще замечательно. На высокой скорости чувствует себя уверенно. По электрике нареканий нет никаких.","
автомобиль: хороший, надежный : положительно 
панель: не напрягает зрение: положительно 
салон: произвел на меня приятное впечатление: положительно 
багажник: просторный, вместительный: положительно 
мотор: хорош: положительно 
подвеска: сделана по уму: положительно 
запчасти: не дорогие, доступные: положительно 
кузов: нет никаких нареканий: положительно 
электрика: нареканий нет никаких: положительно 
впечатление: Отличный автомобиль: положительно"
54,"Выбирали между маздой 3, форд фокусом и хондой цивик. Хонда больше привлекла как по дизайну и как по безопасности(по сравнению с маздой и фордом). Во-первых салон, в нем как в космическом корабле, электронное табло спидометра, да и сама приборная панель сделана необычно, по-современному. В обсуживании хонда впринципе по карману(ТО, замена расходников). Дорогу держит стабильно, в стороны не бросает. Расход по трассе примерно 8,5л/100, а в городе 10-11л/100. В салоне довольно комфортно, сзади поместятся 3 человека, так же можно откинуть задние сидения, тем самым расширить багажник. Ещё одной маааленькой, но все же приятностью является отсутствие в ногах задних пассажиров ""этакой перегородки"", которая присутствует во многих автомобилях. Недавно поменял решётку радиатора, смотрится агресивнее ","приборная панель: сделана необычно, по-современному: нейтрально
обслуживание: по карману: положительно
салон: комфортный: положительно 
багажник: можно расширить: положительно 
отсутствие перегородки: приятность: положительно"
55,"Легкая, быстрая, что еще нужно. У меня на автомате машина, двигатель 1,8. С места просто рвет. тормоза-супер. Комплектация отличная. Все для водителя сделано удобно и комфортно. CD на 6 дисков. Японцы вообще молодца. Эта машина напоминает современный мобильник с электронными наворотами. 3 года в использовании, проблем еще не было.","
Машина: легкая, быстрая: положительно 
двигатель: мощный: положительно 
тормоза: супер: положительно 
комплектация: отличная: положительно 
CD: на 6 дисков: положительно"
56,"Всем доброго времени суток! Проездил на этом авто чуть более года. Впечатление от автомобиля хорошее. Автомобиль продуман. Экстерьер в немецком стиле отработан, интерьер строгий, лишнего ничего нет. Багажник вместительный. Вождение не приносит дискомфорта. Дорогу держит ровно, отличная управляемость и обзор хороший. Поскольку авто бюджетный, в нем всего 2 подушки безопасности, но все же по оценкам экспертов - VW polo ""удар держит"". Недостаток, в качестве сборки, некоторых элементов отечественными сборщиками иногда проявляются. Так же, считаю неприемлемую цену за максимальную комплектацию, за такие деньги можно взять авто другого класса. В целом машина за год своей работы не подводила, чего и другим одноПОЛчанам желаю! ","Впечатление от автомобиля: хорошее: положительно 
Автомобиль: продуман: положительно 
Экстерьер в немецком стиле: отработан: положительно 
Интерьер: строгий: положительно 
Багажник: вместительный: положительно 
Вождение: не приносит дискомфорта: положительно 
управляемость: отличная: положительно 
обзор: хороший: положительно 
качество сборки: недостаток: негативно 
цена за максимальную комплектацию: неприемлема: негативно"
58,"Автомобиль, сразу скажу, не самый лучший. Но у двигателя мощность хорошая, идет внатяг хорошо, на 3000 оборотах показывает уверенность в движении. Но со старта плох. Бывают проблемы с термостатом, возникают сверчки в салоне, плохая шумоизоляция, неустойчивая электроника, нет кондиционера. Нравится стиль, мягкая посадка, которая поганится плохой подвеской машины. С бензином ведет себя непрожорливо, установка фильтра бензиноочистки и тонкой доводки топливной системы на СТО поможет вам сохранить лишних 5 - 7 литров бензина. Рекомендую поменять шины и диски, особенно актуально для гонщиков. Машина прыткая, на большой скорости бывает не совладаешь, поэтому важен ГУР. Советую взять. ","
машина: не самый лучший: негативно 
двигатель: мощность хорошая, идет внатяг хорошо, показывает уверенность в движении: положительно 
старт: плох: негативно 
термостат: бывают проблемы: негативно 
сверчки: возникают: негативно 
шумоизоляция: плохая: негативно 
электроника: неустойчивая: негативно 
кондиционер: нет: негативно 
посадка: мягкая: положительно 
подвеска: поганая: негативно 
бензин: непрожорливо: положительно 
машина: прыткая: положительно 
скорость: бывает не совладаешь: негативно"
59,"Огромный минус-это руль. На парковках всё хорошо! Но на дорогах скорость повысишь автомобиль качает, рулевое колесо немного крутишь а реакция машины сильнее. Пробовал отпускать руль машина едет ровно до первой кочки, дальше держи его! Плюсы это подвеска, она на высшем уровне, кочки даже не заметны. Обороты держатся устойчиво. В багажнике полно места. Машинка в целом отличная только не сравнить с иномарками, с понедельника кстати подорожает на 30000 рублей как и все автомобили АвтоВаза.","
руль: минус: негативно 
подвеска: на высшем уровне: положительно 
багажник: полно места: положительно"
60,"В 2007 г. купила такую машинку. Вроде, и не плохая, но все-таки подумываю о покупке другого авто. У меня 2 детей а потому стало нам в ней тесновато. Хотя когда надо привезти стройматериал какой-нибудь, то легко раскладываем задние сидения и увозим все, что надо. Это, безусловно, спасает, т. к. багажник очень уж маленький. Мало что вмещается в него. А вот парковаться в любом практически месте можно. Моя ""жужа"" хоть где сможет найти себе местечко. Самый большой минус автомобиля - это маленькие колеса. Все неровности на дороге ну очень сильно чувствуются. Эта машина для идеального дорожного покрытия. Шумоизоляция в салоне тоже оставляет желать лучшего, стекла часто запотевают, а вот в -30 С на улице она неплохо заводится. Хотя это еще и от аккумулятора зависит. ","
багажник: маленький: негативно 
парковка: любая: положительно 
колеса: маленькие: негативно 
шумоизоляция: неудовлетворительная: негативно 
аккумулятор: зависит от аккумулятора: нейтрально"
63,"Автомобиль Mercedes Benz Vito 2.2 dti минивен приобрели себе на фирму три года назад. Машина очень хорошая, правда дорогая в обслуживании. Металл кузова достаточно прочный и толстый. У нас Автомобиль Mercedes Benz Vito 2.2 dti минивен 2002 года выпуска и почти не гнилой. Салон просторный, правда зимой нагревается долго. С ходовкой проблем пока не было. С двигателем - тоже. правда компьютер со своей болячкой ""EDC"" помучал нас серьезно. Яст топлива эта машинка не много . У нас дизель - литров 7-8 по трассе- вполне приемлемо. В целом приемистая, экономная и удобная машина. Как говорит хозяин -Mercedes это вам не жигули.","
Машина: хорошая: положительно 
машина: дорогая в обслуживании: негативно 
металл кузова: прочный и толстый: положительно 
салон: просторный: положительно 
салон: зимой нагревается долго: негативно 
ходовка: проблем пока не было: положительно 
двигатель: проблем пока не было: положительно 
компьютер: со своей болячкой ""EDC"": негативно 
топливо: есть не много: положительно 
машина: приемистая, экономная, удобная: положительно"
67,"В целом для своего класса машина очень хорошая. К производителю особо притензий нет, а к работе салона Hyundai, который находится на Шоссе Космонавтов-ОЧЕНЬ МНОГО. Отвратительное отношение к покупателю, некомпитентность менеджера во многих вопросах. Очень долго ждали автомобиль, а еще дольше его получали... ","
производитель: нет притензий: положительно 
работа салона Hyundai: отвратительное отношение к покупателю, некомпитентность менеджера во многих вопросах: негативно 
автомобиль: долго ждали, долго получали: негативно"
68,"Сам езжу на логане 3 года. всё радует: скорость проходимость управление, дешёвая стоимость и техническое обслуживание. но и минусов хватает. Например, не нравится то, что при сырой погоде, когда на поликах скапливается влага, из за их недостаточного углубления, вода попадает в салон, а это как вы понимаете не очень хорошо. так же к минусам отнесу не очень хорошую печку( стёкла при влажной погоде запотевают) и её шум. Но согласитесь, за такие деньги лучше не купишь) поэтому рено логан является довольно приемлемым вариантом. ","
минусы: влага попадает в салон: негативно 
печка: стёкла при влажной погоде запотевают, шум: негативно"
70,"Ваз21120 - ещё одно творение отечественного автопрома... Дизайн у этого автомобиля не выделяется среди толпы... Скорее это каждодневная рабочая машинка для передвижения по городу и мелких грузоперевозок... Вместительность машины хорошая как для хетчбека... Интерьер радует разве что хорошим качеством пластика... Динамика автомобиля: он имеет хороший разгон, как для машиндетища автоВаза... Максимальная скорость невысокая, но тяговитость хорошая... Из плюсов можно выделить низкую цену, экономичный двигатель, хорошую упрачляемость и высокое качества пластика внутри салона... Из минусов: низкую устойчивость к коррозии и ненадёжные расходные детали... Ваз 21120 отлично подойдёт тем, кто ищёт хорошую и надёжную машину за невысокую цену...","
Дизайн: не выделяется среди толпы: нейтрально 
Вместительность: хорошая: положительно 
Динамика: хорошая: положительно 
Цена: низкая: положительно 
Устойчивость к коррозии: низкая: негативно 
Надёжность: хорошая: положительно"
