,Text,Response
20,"Прекрасный ресторан! Уютная обстановка и атмосфера, красивый вид на залив. Обслуживание хорошее, вежливый персонал, все пожелания выполнялись. Вкусная еда и порции нормальные, готовили и приносили довольно быстро. В целом остались очень хорошие и приятные впечатления от посещения, обязательно придем еще и не один раз. Спасибо! Надежда С.","
Обслуживание: хорошее: положительно 
персонал: вежливый: положительно 
еда: вкусная: положительно 
порции: нормальные: положительно"
22,"Н Начну из далека)) года 1,5-2 назад заходила в ""дали"" и осталась с неоднозначными впечатлениями (то ли понравилось,то ли нет).Кухня никакая,какой-то странный персонал в непонятной форме,обслуживание тоже ни о чем.Единственное что зацепило - дизайн кафе,уж очень красивый. Буквально на днях решила рискнуть и зайти отдохнуть. Кафе можно было узнать только по оставленному дизайну,все остальное поменялось. Заказала себе салат,так мне даже было жалко его съесть,настолько было красиво украшен))я уже не говорю,что было очень вкусно). Очень понравилось ненавязчивое и качественное обслуживание. Спасибо Вам большое за уютную атмосферу,от Вас даже не хотелось уходить,все настолько было тепло и радушно!)","
персонал: непонятная форма: негативно
обслуживание: ни о чем: негативно
дизайн кафе: красивый: положительно
салат: красиво украшен, вкусно: положительно
обслуживание: ненавязчивое, качественное: положительно"
23,"Была в трёх разных ресторанах Мама Рома. Кухня радует, а вот обслуживание не очень хорошее. Блюда то ли готовятся долго, то ли их долго несут, хотя народу все 2 раза было немного - казалось бы... Один раз вообще сложилось ощущение, что про нас забыли. Но хуже то, что в наличии постоянно нет чего-то из меню - и, как назло, именно того, что хочется попробовать! Выбор десертов оказывается вообще маленьким. Паста вкусная, всем рекомендую. А вот пицца не фонтан - обычная такая, ничего особенного. Не стоит тех денег, которые за неё берут.","
Кухня: радует: положительно 
обслуживание: не очень хорошее: негативно 
блюда: долго готовятся, несут: негативно 
выбор десертов: маленький: негативно 
паста: вкусная: положительно 
пицца: не фонтан, обычная, ничего особенного: нейтрально"
24,"Зашли в""аппетит"" случайно.Не смотря на то,что был будний день( вторник 14 сентября) и достаточно много народа, все же решили остаться.нас встретил менеджер- темноволосая стройная девушка, проводила к столу и дала меню...Спустя 5 минут пришла официантка, приняла заказ и удалилась...Посмотрев вокруг мы подумали что ждать придется долго- ресторан был полон, однако мы ошиблись , ожидание было недолгим- вполне приемлимым для любого заведения,за приятной беседой мы не заметили как прошло время...Бизнес ланч, на удивление, оказался очень вкусным и сытным- вполне соответствует своей цене. В общем очень хорошее место, разнообразное вкусное меню, приемлемые цены и высокое качество обслуживания! нам очень все понравилось. спасибо этому заведению! обязательно придем на выходных.","
Менеджер: приветливая, стройная: положительно 
официантка: приняла заказ: положительно 
ожидание: недолгое: положительно 
бизнес ланч: вкусный, сытный: положительно 
качество обслуживания: высокое: положительно"
25,"Отмечали в этом ресторане день рождение в субботу вечером. Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем поварам, которые готовят посетителям заведения столь вкусные блюда. Понравилось абсолютно все. Конечно же впечатляет интерьер: уютно и красиво. Стол был шикарный. Хочу отметить, что для ресторана такого уровня цены не высокие. Хочется снова окунуться в незабываемую атмосферу, которая присуща данному заведению.","
руководство ресторана: благодарность: положительно 
обслуживающий персонал: благодарность: положительно 
повара: благодарность: положительно 
интерьер: впечатляет: положительно 
цены: не высокие: положительно"
27,"Отличное заведение! Посещаю эту место с самого открытия. Здесь работают прекрасные ребята, внимательные, гостеприимные. Именно здесь чувствуешь, что тебе всегда рады. Живу недалеко, бываю здесь и с молодым человеком, и с друзьями, и с родственниками, и забегаю просто поужинать. Из меню пробовала почти все. Здесь самый лучший мисо суп в городе!!! Большая порция и очень вкусно!!! Суши всегда из свежей рыбы, роллы очень аккуратно сделаны. Салаты всегда свежие, да и порции не маленькие. Из горячего очень люблю утиную грудку гриль с фруктами и стейк из тунца!!!! Стейль из лосося со шпинатом - любимое блюдо моей подруги. Медальоны из телятины с овощами тоже объедение! не нужно ходить в дорогие рестораны, чтобы вкусно поесть! Рекомендую всем это место! И дешево и качественно!!! Буду продолжать посещать это место!!! спасибо персоналу за их работу!!!","
персонал: внимательный, гостеприимный: положительно 
мисо суп: лучший в городе, вкусно: положительно 
суши: свежая рыба: положительно 
роллы: аккуратно: положительно 
салаты: свежие: положительно 
утиная грудка: вкусно: положительно 
стейк из тунца: вкусно: положительно 
стейль из лосося: вкусно: положительно 
медальоны из телятины: вкусно: положительно"
28,"Никогда не писал отзывы, но тут - просто обязан! Искали с друзьями хорошее местечко на севере, чтобы было уютно, не сильно шумно как в популярных кафе-барах, но и не ресторан - в общем приличный паб для хорошей выпивки и закуски. И это место именно то, что надо! И даже лучше. Правда сам факт того, что нам удалось посидеть в этом заведении считаю везением - увидели свободный столик почти в углу - просто повезло что он был свободен. Поэтому теперь перед походом сюда - будем бронировать. Пиво не пробовали - поэтому ничего не скажу. Пробовали коктейли- прекрасные, чувствуется, что сделаны из хороших напитков, как положено. Отдельное спасибо официантке- она просто угадывала наши желания, и советовала то, что нам и хотелось. Обслуживание 10 баллов. Еда вкусная. Еще стоит отметить прекрасный, уютный и стильный интерьер и безупречно подобранный музыкальный фон (для тех, кому это важно). Ощущение было, что я дома, и все свои. Спасибо, ""радио"" за отличный вечер!","
посидеть в этом заведении: повезло: положительно 
коктейли: прекрасные: положительно 
официантка: просто угадывала наши желания: положительно 
еда: вкусная: положительно 
интерьер: прекрасный, уютный, стильный: положительно"
29,"На 2ом этаже была раза два. Красивый интерьер - сидели у окна за столиком с диванчиками. Намного удобнее чем на 1ом этаже. Порции небольшие, но паста была оч.вкусной))) Обслуживание не понравилось - готовят (или приносят??) заказ ОЧЕНЬ долго, учитывая что оба раза ресторан был полупустой... Если бы не это, то могла бы назвать Моджо приятным местом чтобы посидеть вечером с друзьями.","
интерьер: красивый: положительно 
порции: небольшие: нейтрально 
паста: оч.вкусная: положительно 
обслуживание: не понравилось: негативно"
30,"Сегодня была в этом ресторане!! Мало сказать, что обслуживают там долго!!! 1) Хостес в этом ресторане нет, так что встречать нас никто не спешил. Подождали 10 мин. 2) Ждать пока к нам кто-нибудь подойдет принять заказ пришлось ещё минут 10. 3) Заказали по купону по два блюда в 19 50 где-то..второе блюдо я получила в 21:30. Вместо того,чтобы провести хороший вечер в компании, провели вечер в ожидании.Одни отрицательные эмоции!!!!!! Единственное, что понравилось, это музыка и интерьер но больше идти в этот ресторан НЕ захочется! Претензии скорее не к обслуживанию, а к администрации, которая такой большой ресторан не может обеспечить нормальным количеством официантов и, видимо, поваров!!!!","
Хостес: нет: негативно 
время ожидания: 10 мин, 10 мин: негативно 
время подачи блюд: 21:30: негативно
музыка: понравилась: положительно
интерьер: понравился: положительно"
32,"Мы были в этом ресторане 2 раза. Обслуживанием очень довольны, скатерти меняют после каждого посетителя, все очень чисто. Официанты очень подготовленные, могут рассказать, что из чего готовиться, как подаётся. Порции достаточно большие. Всё вкусно! Единственный минус - в праздники и выходные у них очень много посетителей, хотя это говорит о том, что ресторан хороший...И поэтому готовят очень долго! Закуски и салаты приносят быстро, а горячее нужно ждать. За ожидание нам принесли комплимент - мороженое для ребенка. Кстати, мороженое они готовят сами! Очень вкусно!","обслуживание: довольны: положительно 
скатерти: меняют после каждого посетителя: положительно 
официанты: подготовленные: положительно 
порции: достаточно большие: положительно 
время ожидания: долгое: негативно
мороженое: вкусное: положительно"
35,"Давно хотела посетить этот ресторан, т.к. очень люблю китайскую кухню, а муж предпочитает японскую. Вроде бы идеальный вариант. Собирались долго, пришли к ночи. Конечно, все устали 11 вечера. Официантка, как будто под легкими наркотиками слушала не внимательно и не чего не записывала, в результате после 25 минутного ожидания принесли не то блюдо, которое заказывали. Отказались. Время было позднее много есть мы не могли , но сказав 3 блюда китайской кухни и 2 японской мы не нашли не одного действительно вкусного. Кухня претензионная и не вкусная. Кроме того в счет уже включены чаевые, а это 10 % , за такое обслуживание я не дала и 2 х.. Из положительного только интерьер. Но очень не удобная мебель. В общем, в это заведение мы больше не пойдем.","
официантка: не внимательно, не записывала: негативно 
блюда: не то, которое заказывали: негативно 
кухня: претензионная, не вкусная: негативно 
мебель: очень не удобная: негативно"
36,"Были на мой день рождения в этом ресторане! Мне все очень понравилось. Огромное спасибо официанту Дмитрию - очень вежлив и приветлив! Заказывали по салату Цезарю, пасту и пиццу - все понравилось! Еще Дмитрий псоветовал нам очень вкусное белое вино, а узнав, что у меня праздник - в подарок мы получили фруктовую тарелку! Хочу отметить интерьер - стильный, теплый и уютный. Зайдем еще не раз! Рекомендую.","
официант Дмитрий: вежлив, приветлив: положительно 
салат Цезарь: понравился: положительно 
паста: понравилась: положительно 
пицца: понравилась: положительно 
белое вино: вкусное: положительно 
фруктовая тарелка: получили в подарок: положительно 
интерьер: стильный, теплый, уютный: положительно"
37,"Заезжали поужинать с подругой пару недель назад. Столик не заказывали. Про сервис ничего негативного не скажешь- быстро подходят, все улябаются, подходят спрашивают, всё ли нравится. Приятно. Интерьер на любителя, но мило и удобно. Еда хорошая. Вкусно, не так дорого. Подача плова- оригинальная, но... Мне лично это не понравилось, хотя идея конечно не плохая. Девушкам явно нравится. Я лично ожидал чуть боьше блюд из мяса в таком ресторане на мангале. С другой стороны по одному шашлыку есть из каждого вида мяса, в принципе хватает, но хочется чего то необычное увидеть..","сервис: быстро подходят, все улябаются, подходят спрашивают, всё ли нравится: положительно 
интерьер: на любителя, но мило и удобно: нейтрально 
еда: хорошая, вкусно, не так дорого: положительно 
подача плова: оригинальная: нейтрально"
38,"Являюсь постоянным гостем данного кафе. Недавно в нем сделали ремонт и теперь там светло и уютно. Кухня очень нравится, часто ходим туда с друзьями и там же отмечаем праздники (н-р день рождения). Обслуживание на высоком уровне, персонал работает очень хорошо и всегда внимателен к гостям. Рекомендую это кафе как для тех, кто просто хочет попить кофе в спокойной обстановке, так и для тех, кто хочет отметить день рождения или какой-то другой праздник.","
персонал: внимателен, хорошо работает: положительно 
ремонт: светло, уютно: положительно 
кухня: нравится: положительно"
40,"17 июня отмечали в Санторини свадьбу - обслуживание очень хорошее - мы с мужем сами ни разу не наполняли себе бокалы - за всем следил официант. Обслуживание было на высшем уровне, ненавязчивое. Все убирали вовремя. Единственное, я бы заказала больше еды - у нас съели абсолютно всё. То ли было так вкусно, то ли еды нехватило... У нас выходило 1500 на человека. Надо было заказать на 2000. Мы специально до свадьбы съездили в ресторан и покушали там как обычные посетители. Для нас ценник дороговат, но всё было настолько вкусно, обслуживание было таким хорошим, что остановили выбор на Санторини. Мы не пожалели - всё было супер! Гостям еда очень понравилось, обслуживание отличное, много места для танцев. Пожалуй, это лучший выбор, который мы могли сделать! Спасибо персоналу!","
обслуживание: хорошее: положительно 
еда: вкусная: положительно 
обслуживание: на высшем уровне: положительно 
обслуживание: ненавязчивое: положительно 
ценник: дороговат: негативно"
41,"Привет всем!Мы из Москвы,посетили на выходные Питер и Ваш замечательный ресторан!Понравилось все:и необычно выполненный интерьер,и хорошее обслуживание официантки с рекомендацией блюд,прекрасный вид из окна,и самое главное очень хорошая кухня!!!Цена полностью соответствует качеству,все очень вкусно,что на мой взгляд редкость для Питера,где мало действительно хороших ресторанов.""BELLINI"" один из них!В следующий раз когда будем в Питере обязательно будем у Вас,спасибо!","
Интерьер: выполненный необычно: положительно 
обслуживание официантки: хорошее, с рекомендацией блюд: положительно 
вид из окна: прекрасный: положительно 
кухня: хорошая: положительно"
42,"У нас была свадьба в этом ресторане. Все было просто великолепно! Все остались довольны и кухней, и интерьером и обслуживанием. Большое спасибо администрации и персоналу ресторана! Всегда шли навстречу нашим пожеланиям и все сделали на высшем уровне. Банкетное меню было за 4 т.р. - очень много еды на человека получилось и еда (во всяком случае, горячие закуски и вторые блюда) была очень хорошей.","
Свадьба: все было просто великолепно: положительно 
кухня: все остались довольны: положительно 
интерьер: все остались довольны: положительно 
обслуживание: все остались довольны: положительно 
банкетное меню: за 4 т.р.: положительно"
43,"Красиво. Вкусно. Обслуживание ""на уровне"". Вот на этот ""уровень"" оно и ориентированно, не на клиента )) Приехали в 23, в будний день, вдвоем покушать. Ресторан создавал впечатление пустого, только приглядевшись можно было увидеть посетителей. Обслуживающего персонала было явно больше чем гостей. Поднялись на второй этаж, встретила нас девушка, предложила пару маленьких столиков. Мы захотели сесть за большой стол, с диванами. Ну уж очень хотелось на диван)) Девушка категорично сказала: ""нет, большие столы - для больших компаний, и один из них зарезервирован"". Смешно, один занят, один зарезервирован, и еще несколько пустуют, но мы не можем сесть где нравится, т.к. нас только двое. Ну вдруг, в этом ресторане аншлаг неожиданно случается в полночь, ладно не будем занимать собой так много места. Конечно до закрытия больше никто не появился. Кухня, действительно хороша. Музыка тоже.","
Обслуживание: на уровне: нейтрально 
Персонал: больше чем гостей: негативно 
Столики: маленькие: негативно 
Кухня: хороша: положительно
Музыка: хороша: положительно"
45,"Несколько раз посещали с друзьями данный ресторан! В общем очень даже неплохо! Интерьер милый, всего в меру! Кухня понравилась! Последний раз были 21 января, отлично посидели! Была небольшая компания 5 человек. Очень понравился музыкальный коллектив, хорошая музыка! По обслуживанию претензий нет, хорошо встретили, проводили за столик (забронировали заранее в VIP зоне, стоимость 400 руб.). Официанты не заставляли себя долго ждать, очень все вежливо и обходительно! Вполне прилично место!","
интерьер: милый, всего в меру: положительно 
кухня: понравилась: положительно 
музыкальный коллектив: хороший: положительно 
обслуживание: все вежливо и обходительно: положительно"
47,"Были в этом ресторане в апреле месяце. Остались хорошие впечатления. Началось с того, что пришли туда в субботу, зал набит, мест не было.Расстроились. Стояли перед баром с подругой, ждали общего друга, чтобы решить, куда пойти-куда податься. Ждали минут 10 и только он пришел, как к нам вышла хостесс и вежливо предложила забронированный столик, объяснив, что мы можем там посидеть пока не появятся ""хозяева""(к нашей радости, они так и не объявились). Обслуживание понравилось, персонал вежливый, заказы приносят достаточно быстро. Цены очень приемлемые, особенно на пиво. Еда вкусная и сытная. Порадовало, стоящее в углу пианино, можно было подойти поиграть=) В общем, мы остались очень довольны.","
персонал: вежливый: положительно 
цены: приемлемые: положительно 
еда: вкусная, сытная: положительно 
пианино: порадовало: положительно"
48,"Была в этом ресторане только однажды, но с удовольствием схожу еще раз. Ужинали с сестрой на 2 этаже. Отличное обслуживание, все приносили-уносили быстро и вежливо. Очень понравился выбор в меню, долго не могли решить что заказать из-за большого разнообразия блюд. Все было очень вкусно, к кухне нет никаких нареканий. Ближе к концу нашего ужина пришли музыканты. Очень понравилась их музыка. Красиво, но ненавязчиво. в общем, ресторан отличный. С удовольствием схожу еще не один раз!","
обслуживание: отличное: положительно 
выбор в меню: большой: положительно 
блюда: вкусные: положительно 
музыканты: понравились: положительно"
49,"Посетили ресторан по рекомендации друзей. Впечатление осталось не из лучших. Во-первых, меню ждали минут 15 (хотя народу было не очень много), потом еще 15мин, чтобы сделать заказ, цены чуть выше среднего по городу, но при этом качество оставляет желать лучшего, у салатов порции маленькие, а мясо вообще резиновое, за все проведенное время пепельницу не разу не поменяли.","
время ожидания: минут 15, потом еще 15мин: негативно 
цены: чуть выше среднего по городу: нейтрально 
качество: оставляет желать лучшего: негативно 
порции: маленькие: негативно 
мясо: резиновое: негативно 
пепельница: не разу не поменяли: негативно"
50,"Зашли в ресторан в выходной день случайно. Посоветовала сестра, которая частенько там бывает. Ресторан довольно уютный, милая домашняя обстановка. Людей было мало, поэтому нам достался столик у окна с видом на Большой проспект. Очень не плохо. Еда вкусная, но порции не большие. Нас было четверо и мы все заказали пасту. У всех было довольно прилично приготовлено. Салаты вообще оказались вкуснейшими. Я брала пасту с грибами. М-мми. Вкусно. Один недостаток, что нас обслуживали очень долго. На наше замечание девушка сказала, что у них какие-то проблемы на кухне. Мы не стали выяснять, что за проблемы, но настроение было подпорчено. Цены средние. Да, и в ресторане чаевые от суммы оставляют себе сами. А так не плохо. Еще можно купить домой масло оливковое. Очень вкусное. Желаю приятного времяпровождения.","
Ресторан: уютный, милая домашняя обстановка: положительно 
еда: вкусная: положительно
еда: порции не большие: нейтрально 
салаты: вкуснейшие: положительно 
обслуживание: очень долго: негативно"
51,"06.09.2013 были на ужине в ресторане Пури. Выбирали по местоположению и ориентировались на отзывы посетителей. Заказали столик по телефону. Встретила нас прекрасная девушка администратор, проводила до столика. Место оказалось просто замечательным. Интересный интерьер, все красочное и при этом очень домашняя обстановка. Обслужили нас по высшему разряду. Очень грамотный официант Андрей, за что ему отдельное спасибо. Уделял нам достаточного много времени и при этом не был навязчивым. Порекомендовал отличный чай, от которого мы были в восторге. Меню очень разнообразное. Принесли заказ быстро. Все вкусно. Буду рекомендовать сходить друзьям и знакомым. Появилось желание посетить и другие заведения сети Гинза.","
девушка администратор: прекрасная , проводила до столика: положительно 
место: замечательное: положительно 
интерьер: интересный, красочный, домашняя обстановка: положительно 
официант Андрей: грамотный: положительно 
чай: отличный: положительно 
меню: разнообразное: положительно 
блюда: вкусные: положительно"
